treatnr,blind,dsr,round,seller_quality_choice,buyer_cf_notpos,auction_price,matching_group_id
1,0,0,6,40,1,146,48
3,0,1,6,80,,151,21
3,0,1,6,95,0,140,24
1,0,0,6,100,0,224,45
1,0,0,6,80,1,116,14
1,0,0,6,100,0,211,46
3,0,1,6,80,1,221,24
2,1,0,6,20,,104,66
2,1,0,6,75,,133,68
2,1,0,6,75,,113,31
1,0,0,6,3,1,156,12
2,1,0,6,95,0,180,33
3,0,1,6,95,0,216,56
3,0,1,6,82,0,171,22
2,1,0,6,90,0,106,65
2,1,0,6,75,0,143,65
1,0,0,6,75,,141,48
3,0,1,6,95,,102,21
2,1,0,6,85,0,161,66
2,1,0,6,95,1,195,32
3,0,1,6,94,0,207,56
3,0,1,7,85,0,208,58
2,1,0,7,100,1,131,32
2,1,0,7,0,1,151,66
2,1,0,7,45,,106,66
2,1,0,7,90,0,101,33
1,0,0,7,70,0,114,47
3,0,1,7,85,,173,22
3,0,1,7,85,,231,58
1,0,0,7,100,0,208,48
3,0,1,7,70,0,100,57
2,1,0,7,90,1,142,34
1,0,0,7,30,1,102,48
1,0,0,7,50,1,121,12
1,0,0,7,75,,151,47
3,0,1,7,90,1,124,24
2,1,0,7,100,0,165,65
1,0,0,7,10,1,223,45
3,0,1,7,86,0,166,21
1,0,0,7,75,0,135,14
1,0,0,7,30,1,137,46
3,0,1,7,77,,191,56
1,0,0,7,0,1,121,11
3,0,1,7,100,,231,55
1,0,0,7,80,1,124,13
2,1,0,7,90,0,246,68
2,1,0,7,90,0,176,65
1,0,0,7,1,1,201,45
3,0,1,7,95,0,151,22
3,0,1,7,100,0,206,56
3,0,1,7,85,0,152,23
1,0,0,7,100,0,251,14
2,1,0,7,33,1,102,68
2,1,0,7,100,,200,31
1,0,0,7,0,1,137,13
1,0,0,7,97,0,173,46
3,0,1,7,90,1,161,55
3,0,1,7,100,0,168,24
1,0,0,7,50,1,108,12
2,1,0,7,75,1,134,31
2,1,0,7,54,,156,34
3,0,1,7,100,0,166,23
2,1,0,7,100,0,111,67
3,0,1,7,0,1,101,57
2,1,0,7,90,,126,67
2,1,0,7,100,0,213,32
3,0,1,7,20,1,135,21
2,1,0,7,0,1,151,33
1,0,0,7,91,1,351,11
2,1,0,8,100,0,181,32
1,0,0,8,85,0,111,13
3,0,1,8,61,1,121,57
3,0,1,8,100,0,251,58
3,0,1,8,90,0,101,23
2,1,0,8,68,1,151,66
2,1,0,8,0,1,202,34
2,1,0,8,80,,112,32
3,0,1,8,100,0,121,24
1,0,0,8,63,0,113,12
3,0,1,8,95,0,151,57
2,1,0,8,100,,186,34
3,0,1,8,65,1,202,56
1,0,0,8,0,1,188,47
1,0,0,8,90,,267,45
1,0,0,8,95,0,245,46
3,0,1,8,100,0,171,58
3,0,1,8,98,0,262,22
3,0,1,8,90,,201,55
2,1,0,8,0,,161,33
1,0,0,8,10,1,151,45
2,1,0,8,80,,102,33
3,0,1,8,90,,181,24
1,0,0,8,90,,223,46
1,0,0,8,90,0,221,11
1,0,0,8,80,,151,47
3,0,1,8,80,0,161,21
1,0,0,8,74,1,141,14
1,0,0,8,88,1,238,14
3,0,1,8,0,,,23
2,1,0,8,50,1,201,31
2,1,0,8,90,0,188,65
